cell type	cell_type_catelog	major_type_catelog
Unknown	Unknown	Unclassified cell
Unknown_1	Unknown	Unclassified cell
Unknown_2	Unknown	Unclassified cell
Healthy_Like	Unknown	Unclassified cell
Progenitor_Like	Unknown	Unclassified cell
precursor cells	Unknown	Unclassified cell
cycling cell	Unknown	Unclassified cell
Proliferation cells	Unknown	Unclassified cell
Proliferation cells1	Unknown	Unclassified cell
Proliferation cells2	Unknown	Unclassified cell
